ID,City,State,Zip,Title,RedactionRequested
804,Glenview,IL,60025,Treasurer,FALSE
9177,Harrisburg,IL,62946,Treasurer,FALSE
53011,Chicago,IL,60606,Treasurer,FALSE
9176,Harrisburg,IL,62946,Chairman,FALSE
33020,Mechanicsburg,IL,62545,Chairman,FALSE
25479,Chicago,IL,60622,Treasurer,FALSE
5360,Rockford,IL,61111,Chairman,FALSE
46986,Prospect Heights,IL,60070,Treasurer,FALSE
51034,North Aurora,IL,60542,Treasurer,FALSE
51033,North Aurora,IL,60542,Chairman,FALSE
1728,Chicago,IL,60690,Chairman,FALSE
49809,Flossmoor,IL,60422,Treasurer,FALSE
12160,Silvis,IL,61282,Chairman,FALSE
14979,Lansing,IL,60438,Treasurer,FALSE
40090,Alton,IL,62002,Treasurer,FALSE
40089,Alton,IL,62002,Chairman,FALSE
543,Jerseyville,IL,62052,Chairman,FALSE
42203,Woodridge,IL,60517,Chairman,FALSE
42204,Woodridge,IL,60517,Treasurer,FALSE
27421,Lincoln,IL,62656,Treasurer,FALSE
41296,Lansing,IL,60438,Treasurer,FALSE
41295,Lansing,IL,60438,Chairman,FALSE
43410,Champaign,IL,61820,Chairman,FALSE
38076,Barrington Hillls,IL,60010,Chairman,FALSE
38019,Barrington Hillls,IL,60010,Treasurer,FALSE
38018,Barrington Hillls,IL,60010,Chairman,FALSE
26558,Chicago,IL,60657,Chairman,FALSE
4079,Chicago,IL,60651,Treasurer,FALSE
48618,Chicago,IL,60651,Chairman,FALSE
6528,Chicago,IL,60643,Treasurer,FALSE
59140,South Holland,IL,60473,Treasurer,FALSE
277,Pittsburgh,PA,15222,Chairman,FALSE
33091,Galesburg,IL,61401,Chairman,FALSE
33092,Galesburg,IL,61401,Treasurer,FALSE
13621,Washington,DC,20003,Treasurer,FALSE
17005,Chicago,IL,60657,Treasurer,FALSE
13864,Charleston,IL,61920,Chairman,FALSE
20957,Yorkville,IL,60560,Treasurer,FALSE
43469,Metropolis,IL,62960,Chairman,FALSE
50870,Chicago,IL,60601,Chairman,FALSE
9060,Bartlett,IL,60103,Treasurer,FALSE
3520,Chicago,IL,60632,Treasurer,FALSE
932,Morton,IL,61550,Treasurer,FALSE
40846,Ottawa,Il,61350,Treasurer,FALSE
48875,Ottawa,Il,61350,Secretary,FALSE
33000,Ottawa,IL,61350,Treasurer,FALSE
37598,Champaign,IL,61821,Chairman,FALSE
7395,Edwardsville,IL,62025,Treasurer,FALSE
39049,Chicago,IL,60651,Chairman,FALSE
10716,Chicago,IL,60611,Chairman,FALSE
53300,Chicago,IL,60611,Chairman,FALSE
13102,Lake Forest,IL,,Treasurer,FALSE
56842,Harvey,IL,60426,Chairperson,FALSE
18952,Oak Park,IL,60302,Chairman,FALSE
18953,Oak Park,IL,60302,Treasurer,FALSE
38290,Chicago,IL,60604,Treasurer,FALSE
47208,Broadview,IL,60155,Chairman,FALSE
42291,Seatonville,IL,61359,Chairman,FALSE
52576,Seatonville,IL,61359,Treasurer,FALSE
25984,Highland Park,IL,60035,Chairman,FALSE
12755,Highland Park,IL,60035,Chairman,FALSE
26293,Chicago,IL,60651,Chairman,FALSE
18916,Hinsdale,IL,60521,Treasurer,FALSE
40366,Urbana,IL,61801-,Treasurer,FALSE
40464,Chicago,IL,60643,Treasurer,FALSE
10463,Chicago,IL,60645,Treasurer,FALSE
40463,Chicago,IL,60643,Chairman,FALSE
45025,Oak Park,IL,60302,Chairman,FALSE
11536,Northfield,IL,60093,Treasurer,FALSE
49346,Chicago,IL,60604,Treasurer,FALSE
8483,Chicago,IL,60637,Treasurer,FALSE
42835,Cherry Valley,IL,61016,Treasurer,FALSE
1639,Chicago,IL,60618,Treasurer,FALSE
